"id","date","cluster","competitor_or_standard","source_refs","official_evidence","kolm_implication","kolm_gap_or_risk","recommended_action","confidence"
"CEM-014","2026-05-12","Memory and Personalization","Zep","zep-docs; zep-current","Zep documents agent memory with temporal knowledge graph and production memory APIs for assistants/agents.","Agent-memory vendors can satisfy many personalization requirements without local runtime claims.","Kolm recall-index language must distinguish recipe state from full agent memory products.","Create a memory-source compatibility note and artifact schema section.","medium"
"CEM-015","2026-05-12","Memory and Personalization","Letta","letta-docs; letta-current","Letta presents a framework/platform for stateful agents with persistent memory and tool use.","Stateful agents overlap with Kolm's personalization and agent-runtime story.","Kolm should not pitch stateful agent runtime as its primary category.","Frame Kolm as artifact compilation from successful behavior traces, including memory snapshots where supported.","medium"
"CEM-016","2026-05-12","Fine-Tuning","Predibase","predibase-docs; predibase-finetune-current","Predibase documents fine-tuning, LoRA-style adapters, serving, and deployment workflow for custom models.","LoRA/fine-tuning as a service is a mature category with specialized providers.","Kolm's local LoRA language is risky until it ships a working bridge and artifact format.","Mark LoRA as roadmap or integration target unless a compile artifact actually contains adapter evidence.","high"
"CEM-017","2026-05-12","Fine-Tuning","OpenPipe","openpipe-docs; openpipe-current","OpenPipe positions around collecting production traces, fine-tuning smaller models, evaluation, and deployment for cost/quality improvements.","OpenPipe directly attacks the trace-to-cheaper-model wedge.","Kolm must prove why artifact packaging and receipts are a stronger outcome than hosted fine-tuned endpoints.","Build direct comparison around offline portability, conformance, and receipt verification once those are real.","high"
"CEM-018","2026-05-12","Fine-Tuning","Together AI","together-finetune-docs; together-finetune-current","Together AI documents supervised fine-tuning workflows and deployment/inference on its platform.","Model providers can bundle fine-tuning close to inference.","Kolm should not require buyers to believe it is also the fine-tuning platform.","Support exporting training datasets/adapters while keeping Kolm artifact proof separate.","high"
"CEM-019","2026-05-12","Fine-Tuning","Hugging Face AutoTrain","hf-autotrain-docs; hf-autotrain-current","Hugging Face AutoTrain documents no-code/low-code model training and fine-tuning workflows across task types.","Open model tooling can democratize parts of customization that Kolm might otherwise claim.","Kolm must be more specific than automated training or fine-tuning.","Focus on task-specific conformance, receipts, and deployable artifact governance.","medium"
"CEM-020","2026-05-12","On-Device Runtime","Apple Foundation Models","apple-foundation-models; apple-foundation-models-current","Apple documents a Foundation Models framework for app access to on-device Apple Intelligence foundation models where available.","Native platforms are adding first-party on-device model APIs.","Kolm phone claims need to fit platform availability and entitlement realities, not generic phone runtime language.","Create iOS support matrix with shipped, preview, blocked, and required-device rows.","high"
"CEM-021","2026-05-12","On-Device Runtime","Google LiteRT","litert-docs; litert-current","Google AI Edge LiteRT documents on-device model deployment and inference for mobile and edge, including acceleration paths.","Android/on-device runtime is a platform ecosystem, not a feature Kolm should build alone.","Kolm needs adapters/export targets, not custom mobile runtime promises.","Evaluate LiteRT as a target for narrow artifact workloads and benchmark before public claims.","high"
"CEM-022","2026-05-12","On-Device Runtime","PyTorch ExecuTorch","executorch-docs; executorch-current","ExecuTorch positions itself as a PyTorch edge runtime for on-device and embedded AI deployment.","Model-runtime projects already solve packaging and execution at the edge.","Kolm should wrap or target runtime substrates instead of implying it replaces them.","Select one primary model-bearing runtime bridge for v1 proof.","high"
"CEM-023","2026-05-12","Protocol","Model Context Protocol","mcp-docs; mcp-current","MCP official docs define a protocol for connecting AI apps to tools, resources, prompts, and external context with client/server concepts.","Tool/context interoperability is becoming standardized.","Kolm MCP claims need to be concrete: server, client, resources, tools, prompts, auth mode, and conformance tests.","Add MCP conformance checklist and avoid vague MCP-compatible wording.","high"
"CEM-024","2026-05-12","Provider Capability","OpenAI Structured Outputs","openai-structured-outputs; openai-structured-outputs-current","OpenAI Structured Outputs constrain model responses to developer-supplied JSON Schemas with strict mode support for reliable structure.","Provider-native schema constraints reduce the need for custom recipe/parsing layers for some tasks.","Kolm recipes must offer value beyond JSON schema conformance.","Position schema conformance as an input and test gate, not the whole product.","high"
"CEM-025","2026-05-12","Trust Infrastructure","Sigstore and Rekor","sigstore-docs; rekor-docs; sigstore-rekor-current","Sigstore/Rekor provide public transparency-log and signing patterns used for software supply-chain provenance.","Public verifiability expectations are higher than HMAC chains shared inside one service.","Kolm HMAC receipts cannot support public offline verification claims by themselves.","Design Ed25519 or Sigstore/Rekor-style public verification path before claiming public registry anchoring.","high"
"CEM-026","2026-05-12","Regulation","EU AI Act and GPAI Code","eu-ai-act-commission; eu-ai-act-service-desk; eu-gpai-code-current","EU official sources describe AI Act obligations and GPAI code-of-practice/documentation expectations that are still implementation-sensitive.","Regulatory posture is moving and depends on role, deployment, and risk category.","Kolm compliance copy must avoid broad regulatory readiness claims without mapped obligations and controls.","Maintain a compliance claim register and require counsel review for HIPAA, EU AI Act, SOC 2, and FedRAMP language.","high"
