insight_id,updated_at,priority,area,claim_or_finding,evidence,why_it_matters,next_action,status,source_refs
KCI-018,2026-05-12,P2,Product Roadmap,"Specialists/LoRA are high-ACV expansion, not the day-one proof loop.","`src/router.js` routes some specialist paths as preview/fallback; `src/compile.js` says LoRA training ships later.","Selling Specialists too early risks vaporware perception. Recipe-tier replacement plus receipts is enough for first proof.","Move Specialist copy to roadmap/preview until one end-to-end LoRA artifact exists.","open","src/router.js; src/compile.js; docs/TUNE.md"
KCI-019,2026-05-12,P2,Security,"API key/account lifecycle is improved but enterprise needs orgs, SSO, scoped keys, recovery, audit export, and retention controls.","README lists auth endpoints; strategy docs call out enterprise gaps.","Enterprise trust requires account governance, not only artifact cryptography.","Create enterprise readiness checklist mapped to routes, data model, and missing tables.","open","README.md; src/auth.js; docs/kolm-infra-business-strategy-report-2026-05-06.md"
KCI-020,2026-05-12,P2,Research Ops,"The knowledge base needs continuous competitor refresh because product surfaces are changing weekly across gateways, evals, agents, memory, and runtimes.","This first pass covers major clusters but not exhaustive pricing, funding, customer logos, GitHub velocity, or benchmark claims.","A static memo will decay quickly. The CSV and backlog should become the operating research loop.","Refresh top 25 competitors monthly, add pricing/traction columns, and update source register with retrieved dates.","open","source-register-2026-05-12.md; research-backlog-2026-05-12.md"
KCI-021,2026-05-12,P0,Architecture,"The API surface is broad but concentrated in one monolithic router.","`src/router.js` contains 86 inline route declarations and about 120 KB of mixed public, authenticated, admin, billing, compile, registry, bridge, and specialist logic.","A monolithic router makes auth boundary review, route documentation, and production-hardening harder as the surface grows.","Create a generated route manifest, then split routes by domain after P0 trust fixes.","open","src/router.js; codebase-module-inventory-2026-05-12.md; api-surface-inventory-2026-05-12.csv"
KCI-022,2026-05-12,P0,Product Proof,"Artifact fixture tests prove recipe-tier offline execution, not full local model ownership.","`tests/artifact-end-to-end.test.js` loads four `.kolm` fixtures, verifies signatures, runs evals, reports 0 egress, checks tenant params, audit callback, input cap, and tamper rejection.","This is strong evidence for deterministic recipe artifacts, but it should not be used as proof for LoRA/model-bearing mobile artifacts.","Create a public artifact evidence page that labels fixture tier and limitations precisely.","open","tests/artifact-end-to-end.test.js; src/artifact-runner.js; docs/benchmark-results-v0.1.0.md"
KCI-023,2026-05-12,P0,Trust,"Site tests explicitly ban several overclaims that still resemble live-home positioning.","`tests/site.test.js` forbids patterns like full self-contained mobile/runtime/compliance claims and old 'Compile your data into a model' copy; live `kolm.ai` still uses aggressive offline/model wording.","The test suite can become a claim-governance tool, but only if live deployment and local public files are aligned.","Run site tests before deploy and add live-site claim audit as a release gate.","open","tests/site.test.js; kolm-live-home; codebase-and-live-site-gap-review-2026-05-12.md"
KCI-024,2026-05-12,P1,Auth,"Tenant API keys are hashed at rest and legacy raw keys migrate on use, but account model is still single-tenant/key centric.","`src/auth.js` stores `api_key_hash` and `api_key_prefix`; `tests/auth-hash.test.js` verifies hashing, rotation, and legacy migration.","This is a real security improvement, but enterprise buyers will still ask for orgs, roles, SSO, scoped keys, recovery, and audit export.","Add an enterprise account model plan: orgs, users, roles, scoped keys, SSO/SAML, SCIM, recovery, and audit logs.","open","src/auth.js; tests/auth-hash.test.js"
KCI-025,2026-05-12,P1,Billing,"Stripe webhook helper is unit-covered, but subscription state is not yet a durable billing system.","`src/stripe.js` verifies webhook HMACs and maps cents to plans; `tests/stripe.test.js` covers helper behavior; route `/v1/stripe/webhook` exists in router.","A live SaaS needs webhook idempotency, event storage, retries, entitlement reconciliation, and plan drift checks.","Design billing tables/outbox and add a webhook idempotency test.","open","src/stripe.js; tests/stripe.test.js; src/router.js"
KCI-026,2026-05-12,P1,GTM,"The bridge/capture route family is the strongest near-term wedge because it can prove avoided frontier calls from real traces.","Routes exist for observations, suggestions, OpenAI/Anthropic capture, labels export, and auto-synthesis; competitor research shows gateways/observability tools already own traces.","This is the practical path from competitor traffic layers into Kolm artifacts.","Build a capture-to-suggestion-to-compile integration test and LiteLLM/Langfuse importer docs.","open","src/router.js; src/capture.js; api-surface-inventory-2026-05-12.csv; competitor-landscape-2026-05-12.md"
KCI-027,2026-05-12,P1,Observability,"Telemetry currently uses invocation counts as a lower-bound proxy for receipts verified.","`src/router.js` comments say receipt-bearing invocation count is used until a dedicated receipts table exists.","Dashboards that show receipts verified may overstate actual independent verification activity.","Add a receipts table or relabel telemetry as 'receipt-bearing runs' until verification events are persisted.","open","src/router.js"
KCI-028,2026-05-12,P1,Release Process,"A route manifest should become a release gate for auth classification.","The current API surface mixes public, auth, admin, webhook, and public-but-auth-bypassed routes; `authMiddleware` has a PUBLIC_API allowlist separate from route declarations.","Manual review can miss new unauthenticated or admin-sensitive endpoints.","Generate `api-surface-inventory` from source or maintain a checked route manifest with tests.","open","src/router.js; src/auth.js; api-surface-inventory-2026-05-12.csv"
KCI-029,2026-05-12,P0,Claim Governance,"Live `kolm.ai` is materially out of sync with the local repo and current code truth.","Live home claims offline model artifacts with model/LoRA/index, ed25519, public-registry anchoring, phone support, and on-chain receipts; live pricing/docs still use Recipe/REM Labs and old package/API names.","This is the clearest public trust risk: prospects can see claims that the codebase itself says are not shipped.","Fix local claim language, then redeploy home/pricing/docs from current Kolm-branded source; add live forbidden-pattern smoke test.","open","claim-governance-audit-2026-05-12.md; claim-audit-2026-05-12.csv; https://kolm.ai/"
KCI-030,2026-05-12,P0,Claim Governance,"Local FAQ and API pages overstate artifact contents and LoRA availability.","`public/faq.html` says `.kolm` includes base model and personal LoRA; `public/api.html` says compile fits LoRA and auto-distill trains LoRA; code marks LoRA as Sprint 3 and bridge-dependent.","FAQ/API pages are high-intent developer surfaces. Overclaims here create immediate implementation mismatch.","Rewrite FAQ/API into shipped vs preview sections with artifact-tier language.","open","public/faq.html; public/api.html; src/artifact.js; src/compile.js; src/router.js"
KCI-031,2026-05-12,P0,Claim Governance,"Mobile use-case page reads as shipped native mobile runtime despite its own preview caveat.","`public/use-cases/mobile.html` claims iPhone/Pixel support, tok/s ranges, React Native/Swift/Kotlin SDK, llama.cpp, ExecuTorch, offline receipts, while later noting RN module is preview and today browser-WASM via WebView.","Mobile claims are easy to falsify and expensive to support. They require device benchmark proof.","Move performance/SDK claims to target architecture until packages and benchmarks exist.","open","public/use-cases/mobile.html; claim-audit-2026-05-12.csv"
KCI-032,2026-05-12,P0,Claim Governance,"Healthcare SEO metadata overclaims HIPAA readiness even where body copy is more careful.","`public/healthcare.html` metadata says HIPAA-ready offline specialist and PHI never leaves device; body later says public product is not HIPAA certification.","Search snippets may be the first and only thing buyers or regulators see. Metadata must be as careful as the page body.","Change healthcare metadata and hero to 'enterprise design target/customer-controlled deployment', not HIPAA-ready.","open","public/healthcare.html; public/baa.html; claim-audit-2026-05-12.csv"
KCI-033,2026-05-12,P1,Claim Governance,"The safest offline claim is the public JS recipe-registry PWA, not full model runtime.","Live and local `/device` pages demonstrate public recipe source export, local JS functions, service worker, and no-network PWA mode.","This can be a credible proof wedge if clearly labeled recipe-registry mode.","Use `/device` as a scoped demo: 'public JS recipes run offline'; avoid implying private model/LoRA artifacts.","monitor","public/device.html; https://kolm.ai/device; src/router.js"
KCI-034,2026-05-12,P1,Release Process,"Site tests already encode claim policy, but they need live deployment coverage.","`tests/site.test.js` forbids patterns like HIPAA-ready, on-chain receipt anchoring, mobile SDK, zero runtime egress, fully self-contained, HMAC chain to registry, and stale Recipe branding.","The guardrail is valuable but local-only. Live pages can still drift or be stale.","Add a CI/deploy smoke that fetches key `kolm.ai` URLs and applies the forbidden claim set.","open","tests/site.test.js; claim-governance-audit-2026-05-12.md"
KCI-035,2026-05-12,P1,Competitors,"Gateways are converging on the same primitives Kolm might be tempted to claim.","Portkey, LiteLLM, Cloudflare AI Gateway, Vercel AI Gateway, OpenRouter, and Helicone document routing, fallback, retries, budgets, rate limits, caching, logs, and observability.","A generic gateway story is low-differentiation and will be compared against embedded or cheaper infrastructure.","Position Kolm as a post-gateway compiler that consumes gateway traces and emits verifiable artifacts.","open","competitor-evidence-matrix-2026-05-12.csv; competitor-positioning-gaps-2026-05-12.md"
KCI-036,2026-05-12,P1,Competitors,"Observability/eval vendors already own the trace-dataset-feedback loop.","LangSmith, Langfuse, Braintrust, Helicone, and PromptLayer document traces, datasets, prompts, evals, scorecards, production logs, and human review workflows.","Kolm should avoid becoming another weaker dashboard and instead use those systems as evidence sources.","Define importer fixtures for Langfuse, Braintrust, and LangSmith before adding more custom observability UI.","open","competitor-evidence-matrix-2026-05-12.csv; research-backlog-2026-05-12.md"
KCI-037,2026-05-12,P0,Product Truth,"LoRA/fine-tuning is not a credible public claim until artifact evidence exists.","Predibase, OpenPipe, Together AI, and Hugging Face AutoTrain document mature fine-tuning/customization paths; local Kolm code still marks LoRA as later bridge work.","LoRA claims make Kolm compete with fine-tuning providers while exposing a current implementation gap.","Split artifact tiers into recipe-only, recipe-plus-index, model-adapter, and native-runtime; mark LoRA roadmap until verified.","open","competitor-evidence-matrix-2026-05-12.csv; src/compile.js; src/artifact.js; claim-audit-2026-05-12.csv"
KCI-038,2026-05-12,P1,Competitors,"Memory and stateful-agent vendors already cover much of the personalization narrative.","Mem0, Zep, and Letta document long-term memory, temporal knowledge graphs, stateful agents, and production APIs.","Kolm recall-index and personalization language should be exact about what state is actually packaged.","Treat memory systems as compile inputs and document packaged memory/index metadata in the artifact schema.","open","competitor-evidence-matrix-2026-05-12.csv"
KCI-039,2026-05-12,P1,Architecture,"On-device runtime strategy should wrap existing substrates rather than imply a custom Kolm runtime.","Apple Foundation Models, Google LiteRT, PyTorch ExecuTorch, ONNX Runtime Mobile, llama.cpp, MLC, and Ollama already cover major local/on-device execution paths.","Phone/offline claims need runtime-specific proof; otherwise the site invites platform-support scrutiny Kolm cannot satisfy yet.","Choose one v1 runtime bridge and benchmark it before expanding device claims.","open","competitor-evidence-matrix-2026-05-12.csv; research-backlog-2026-05-12.md"
KCI-040,2026-05-12,P1,Standards,"MCP and Structured Outputs compress part of Kolm's recipe value unless Kolm has conformance proof and artifact semantics.","MCP standardizes tool/context/prompt connections; OpenAI Structured Outputs provides strict JSON Schema response constraints.","Vague protocol/schema claims are not a moat and can be replaced by provider-native features.","Add conformance checklists and position MCP/schema output as inputs or gates for artifacts.","open","source-register-2026-05-12.md; competitor-evidence-matrix-2026-05-12.csv"
KCI-041,2026-05-12,P0,Trust,"Public receipt verification needs public-key or transparency-log architecture, not HMAC-only receipts.","Sigstore/Rekor provide public signing/transparency-log patterns; Kolm currently uses HMAC receipt verification and live/local copy references stronger public/offline claims.","HMAC receipts cannot support public registry anchoring or offline third-party verification claims by themselves.","Design Ed25519 or Sigstore/Rekor-style receipt v0.2 before restoring public/offline verification language.","open","src/receipts.js; src/verifier.js; competitor-evidence-matrix-2026-05-12.csv; claim-audit-2026-05-12.csv"
KCI-042,2026-05-12,P0,Compliance,"Regulatory positioning needs a claim register mapped to deployment role, controls, and documentation.","EU AI Act/GPAI official sources remain implementation-sensitive; prior claim audit found HIPAA-ready and compliance language risks in public pages.","Broad compliance readiness claims can create legal and enterprise trust risk before evidence exists.","Maintain a compliance claim register and require review for HIPAA, EU AI Act, SOC 2, FedRAMP, and BAA language.","open","competitor-evidence-matrix-2026-05-12.csv; claim-governance-audit-2026-05-12.md; source-register-2026-05-12.md"
KCI-043,2026-05-12,P0,Product Truth,"A freshly generated `.kolm` proves recipe-tier artifacts, not model-bearing or LoRA artifacts.","The generated sample and all checked fixtures contain manifest, model pointer JSON, recipes, KOLMPACK behavior slot, KOLMIDX lookup slot, evals, HMAC signature, and HMAC receipt; manifests show tier recipe and runtime cloud.","This is the exact code truth public copy must use until a model-adapter or native-runtime tier ships.","Adopt artifact-tier vocabulary in docs and copy: recipe-only, recipe-plus-index, model-adapter, native-runtime.","open","artifact-truth-audit-2026-05-12.md; artifact-fixture-inventory-2026-05-12.csv"
KCI-044,2026-05-12,P1,Artifact Integrity,"The manifest K-score size can be stale relative to the final zip size.","Generated sample zip is 3689 bytes while manifest K-score size_bytes is 3591; checked fixtures differ by 64-68 bytes.","Exact K-score recomputation claims are weaker if the signed manifest stores a probe size rather than final artifact size.","Fix `buildAndZip` final-size mutation or add an explicit test and documented semantics.","open","artifact-truth-audit-2026-05-12.md; src/artifact.js; tests/artifact-end-to-end.test.js"
KCI-045,2026-05-12,P1,Testing,"Artifact end-to-end tests prove important runtime behavior but leave claim-critical gaps.","`node --test tests\\artifact-end-to-end.test.js` passed 23 tests, covering fixture load, signature validation, eval pass, benchmark zero egress, tenant params, audit callback, input cap, and tamper rejection.","The suite does not verify final K-score size equality, public-key verification, or model/LoRA contents.","Add exact-size, receipt-mode, and artifact-member semantic assertions to the artifact test suite.","open","artifact-truth-audit-2026-05-12.md; tests/artifact-end-to-end.test.js"
KCI-046,2026-05-12,P0,Claim Governance,"Artifact member names are stronger than their current contents.","`model.gguf` is a JSON pointer, `lora.bin` is a KOLMPACK behavior container, and `index.sqlite-vec` is a KOLMIDX JSON lookup container in v0.1.","The filenames can make screenshots, docs, or sales copy imply real weights, LoRA, or sqlite-vec even when the implementation is recipe-tier.","Either rename the v0.1 members or label them aggressively in docs and inspect output.","open","artifact-truth-audit-2026-05-12.md; src/artifact.js; src/artifact-runner.js"
KCI-047,2026-05-12,P0,Trust,"Current receipt verification is symmetric HMAC, not independent public verification.","A local smoke showed `/v1/receipts/verify` verifies a v0.1 artifact receipt with the same `RECIPE_RECEIPT_SECRET`; standalone checking passes with the correct secret and fails with a wrong secret.","Anyone-can-verify-offline language is false unless the verifier has the shared secret or a public-key receipt mode exists.","Rewrite receipt copy to 'HMAC-verifiable by the issuer or shared-secret holder' until Ed25519 or equivalent ships.","open","receipt-verification-truth-2026-05-12.md; receipt-verification-matrix-2026-05-12.csv; src/router.js; src/artifact.js"
KCI-048,2026-05-12,P1,Runtime,"Local `runArtifact` returns unsigned run metadata, not a cryptographic per-run receipt.","`src/artifact-runner.js` returns `rs-1-run` with artifact_job_id, recipe_id, version_id, and ran_at, but no HMAC/signature.","Artifact-local execution can be audited, but current per-run proof is weaker than API `/v1/run` HMAC receipts.","Design signed local-run receipts or avoid calling local run metadata cryptographic proof.","open","receipt-verification-truth-2026-05-12.md; src/artifact-runner.js"
KCI-049,2026-05-12,P1,API,"The public receipt verifier endpoint is public access to server-held HMAC verification, not public-key validation.","`/v1/receipts/verify` requires no auth but recomputes artifact, legacy, and drive-by signatures with `RECEIPT_SECRET`.","Public endpoint availability can be mistaken for third-party cryptographic independence.","API docs should distinguish unauthenticated verification service from independent offline verification.","open","receipt-verification-matrix-2026-05-12.csv; src/router.js"
KCI-050,2026-05-12,P1,Release Process,"Receipt readiness is an operational gate for production truth.","`effectiveReceiptSecret` rejects missing/weak production secrets; e2e coverage expects `/v1/receipts/verify` to 503 without a configured secret.","A deployment can serve marketing pages while receipt verification is unavailable or degraded.","Add live `/v1/receipts/verify` readiness smoke and expose receipt mode/status in operator diagnostics.","open","receipt-verification-truth-2026-05-12.md; src/env.js; tests/e2e.test.js"
